currency,rate,date
1 USD,4.498321743632277,2025-02-03
1 USD,4.378594470299315,2025-01-27
1 USD,4.504808477617093,2025-01-20
1 USD,4.510647315328122,2025-01-13
1 GBP,5.532667218642433,2025-02-03
1 GBP,5.451955973710886,2025-01-27
1 GBP,5.486802867403179,2025-01-20
1 GBP,5.49904764743318,2025-01-13
1 EUR,4.607731173904759,2025-02-03
1 EUR,4.582048660532006,2025-01-27
1 EUR,4.631870940512511,2025-01-20
1 EUR,4.619918603502093,2025-01-13
1 SGD,3.2871024290700817,2025-02-03
1 SGD,3.2481807589205434,2025-01-27
1 SGD,3.29437167799678,2025-01-20
1 SGD,3.289319389162864,2025-01-13
1 AUD,2.7560812933738292,2025-02-03
1 AUD,2.7550730675683326,2025-01-27
1 AUD,2.7923383485312394,2025-01-20
1 AUD,2.7775994713228274,2025-01-13
1 CNY,0.6203857645538002,2025-02-03
1 CNY,0.6034825578333026,2025-01-27
1 CNY,0.6152164284638888,2025-01-20
1 CNY,0.6152906103385669,2025-01-13
10 THB,1.3217157374913835,2025-02-03
10 THB,1.3003792591219467,2025-01-27
10 THB,1.3069701355128327,2025-01-20
10 THB,1.29801627819629,2025-01-13
10 TWD,1.3621243430816525,2025-02-03
10 TWD,1.3354717387584158,2025-01-27
10 TWD,1.3691292466962988,2025-01-20
10 TWD,1.3645378356335636,2025-01-13
100 JPY,2.8891822972931323,2025-02-03
100 JPY,2.814655150311471,2025-01-27
100 JPY,2.8860329998623695,2025-01-20
100 JPY,2.8666928298636702,2025-01-13
1000 KRW,3.058132231087129,2025-02-03
1000 KRW,3.0627159285708085,2025-01-27
1000 KRW,3.089790635899598,2025-01-20
1000 KRW,3.06311040411321,2025-01-13
